No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
105,聖少女領域,ALI PROJECT,聖少女領域,その他,1:52:42,2025/03/11,Sj8QOldgX_g,0.50
106,ひぐらしのなく頃に,島みやえい子,ひぐらしのなく頃に,その他,2:07:34,2025/03/11,Sj8QOldgX_g,0.50
107,Silly-GO-Round,FictionJunction YUUKA,silly-go-round,その他,2:19:17,2025/03/11,Sj8QOldgX_g,0.50
108,シャイニングスター,魔王魂 森田交一,しゃいにんぐすたー,その他,2:35:01,2025/03/11,Sj8QOldgX_g,0.50
109,創聖のアクエリオン,AKINO,創聖のあくえりおん,アニメ,2:45:08,2025/03/11,Sj8QOldgX_g,0.50
128,カタオモイ,Aimer,かたおもい,その他,8:54,2025/03/02,_R5c7BxwLjI,0.50
129,スパークル,RADWIMPS,すぱーくる,その他,18:19,2025/03/02,_R5c7BxwLjI,0.50
130,君の知らない物語,Supercell,君の知らない物語,Vocaloid,30:32,2025/03/02,_R5c7BxwLjI,0.50
131,異星にいこうね,いよわ feat. 星界,異星にいこうね,その他,39:36,2025/03/02,_R5c7BxwLjI,0.50
132,Calc.,ジミーサムP feat. 初音ミク,calc.,Vocaloid,47:15,2025/03/02,_R5c7BxwLjI,0.50
133,Lullaby,三浦大知,lullaby,その他,56:02,2025/03/02,_R5c7BxwLjI,0.50
134,アスノヨゾラ哨戒班,Orangestar feat.IA,あすのよぞら哨戒班,Vocaloid,1:04:10,2025/03/02,_R5c7BxwLjI,0.50
135,ライカ,yamada feat. 初音ミク,らいか,Vocaloid,1:15:37,2025/03/02,_R5c7BxwLjI,0.50
136,帝国少女,R Sound Design feat. 初音ミク,帝国少女,Vocaloid,1:25:12,2025/03/02,_R5c7BxwLjI,0.50
137,いーあるふぁんくらぶ,"みきとP feat.GUMI,鏡音リン",いーあるふぁんくらぶ,Vocaloid,1:33:13,2025/03/02,_R5c7BxwLjI,0.50
138,強風オールバック,Yukopi feat. 歌愛ユキ,強風おーるばっく,その他,1:43:21,2025/03/02,_R5c7BxwLjI,0.50
139,Loveit? feat. LOLUET,biz×ZERA,loveit? feat. loluet,その他,1:48:23,2025/03/02,_R5c7BxwLjI,0.50
140,人マニア,原口沙輔 feat. 重音テト,人まにあ,Vocaloid,1:55:30,2025/03/02,_R5c7BxwLjI,0.50
141,もう一度キスしたかった,B'z,もう一度きすしたかった,その他,2:04:26,2025/03/02,_R5c7BxwLjI,0.50
142,ALONE,B'z,alone,その他,2:11:55,2025/03/02,_R5c7BxwLjI,0.50
143,BELOVED,GLAY,beloved,その他,2:24:27,2025/03/02,_R5c7BxwLjI,0.50
144,SOUL LOVE,GLAY,soul love,その他,2:33:50,2025/03/02,_R5c7BxwLjI,0.50
145,Journey,"DECO*27 feat. 初音ミク,星乃一歌(CV.野口瑠璃子),花里みのり(CV.小倉唯),小豆沢こはね(CV.秋奈),天馬司(CV.廣瀬大介),宵崎奏(CV.楠木ともり)",journey,Vocaloid,2:45:28,2025/03/02,_R5c7BxwLjI,0.50
